ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
350	6	1	2	0.000000	17.333333	10.666667	0.000000	0.000000	0	0	0
351	14	1	2	0.000000	19.071429	12.071429	0.000000	0.000000	0	0	0
352	65	1	1	0.000000	15.400000	8.446154	0.000000	0.000000	0	0	0
353	54	2	2	0.000000	26.259259	11.166667	0.000000	0.000000	0	0	0
354	109	2	2	0.000000	15.596330	10.816514	0.000000	0.000000	0	0	0
355	117	1	1	0.000000	17.991453	10.974359	0.000000	0.000000	0	0	0
356	78	2	2	0.000000	20.000000	6.884615	0.000000	0.000000	0	0	0
357	39	1	2	0.000000	19.487179	14.358974	0.000000	0.000000	0	0	0
358	54	2	2	0.000000	26.259259	16.722222	0.000000	0.000000	0	0	0
359	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
360	85	1	0	0.000000	1.035294	1.035294	0.000000	0.000000	0	0	0
361	125	2	2	0.000000	20.152000	12.464000	0.000000	0.000000	0	0	0
362	20	1	1	0.000000	23.400000	14.950000	0.000000	0.000000	0	0	0
363	32	1	2	0.000000	16.718750	11.218750	0.000000	0.000000	0	0	0
364	3	2	1	0.000000	18.333333	11.333333	0.000000	0.000000	0	0	0
